longitud;latitud;parametro;anio-mes-dia;valor
-3.691945;40.422501;01;2003-01-01;13.34
-3.691945;40.422501;01;2003-02-01;31.78
-3.691945;40.422501;01;2003-03-01;16.47
-3.691945;40.422501;01;2003-04-01;19.93
-3.691945;40.422501;01;2003-05-01;10.71
-3.691945;40.422501;01;2003-06-01;14.10
-3.691945;40.422501;01;2003-07-01;14.78
-3.691945;40.422501;01;2003-08-01;19.25
-3.691945;40.422501;01;2003-09-01;14.52
-3.691945;40.422501;01;2003-10-01;5.290
-3.691945;40.422501;01;2003-11-01;13.20
-3.691945;40.422501;01;2003-12-01;26.82
-3.691945;40.422501;06;2003-01-01;1.150
-3.691945;40.422501;06;2003-02-01;1.570
-3.691945;40.422501;06;2003-03-01;0.940
-3.691945;40.422501;06;2003-04-01;1.170
-3.691945;40.422501;06;2003-05-01;0.840
-3.691945;40.422501;06;2003-06-01;1.070
-3.691945;40.422501;06;2003-07-01;1.050
-3.691945;40.422501;06;2003-08-01;0.990
-3.691945;40.422501;06;2003-09-01;0.840
-3.691945;40.422501;06;2003-10-01;1.060
-3.691945;40.422501;06;2003-11-01;1.200
-3.691945;40.422501;06;2003-12-01;1.530
-3.691945;40.422501;08;2003-01-01;42.14
-3.691945;40.422501;08;2003-02-01;97.83
-3.691945;40.422501;08;2003-03-01;63.14
-3.691945;40.422501;08;2003-04-01;109.7
-3.691945;40.422501;08;2003-05-01;82.08
-3.691945;40.422501;08;2003-06-01;93.98
-3.691945;40.422501;08;2003-07-01;87.16
-3.691945;40.422501;08;2003-08-01;109.2
-3.691945;40.422501;08;2003-09-01;69.90
-3.691945;40.422501;08;2003-10-01;63.30
-3.691945;40.422501;08;2003-11-01;77.82
-3.691945;40.422501;08;2003-12-01;96.34
-3.691945;40.422501;10;2003-01-01;19.17
-3.691945;40.422501;10;2003-02-01;40.93
-3.691945;40.422501;10;2003-03-01;15.10
-3.691945;40.422501;10;2003-04-01;48.61
-3.691945;40.422501;10;2003-05-01;20.58
-3.691945;40.422501;10;2003-06-01;41.08
-3.691945;40.422501;10;2003-07-01;36.92
-3.691945;40.422501;10;2003-08-01;59.96
-3.691945;40.422501;10;2003-09-01;30.61
-3.691945;40.422501;10;2003-10-01;26.55
-3.691945;40.422501;10;2003-11-01;21.53
-3.691945;40.422501;10;2003-12-01;40.91
-3.691945;40.422501;12;2003-01-01;137.2
-3.691945;40.422501;12;2003-02-01;270.1
-3.691945;40.422501;12;2003-03-01;122.0
-3.691945;40.422501;12;2003-04-01;213.0
-3.691945;40.422501;12;2003-05-01;136.1
-3.691945;40.422501;12;2003-06-01;180.8
-3.691945;40.422501;12;2003-07-01;175.3
-3.691945;40.422501;12;2003-08-01;198.0
-3.691945;40.422501;12;2003-09-01;139.9
-3.691945;40.422501;12;2003-10-01;154.3
-3.691945;40.422501;12;2003-11-01;189.2
-3.691945;40.422501;12;2003-12-01;287.8
-3.691945;40.422501;14;2003-01-01;14.45
-3.691945;40.422501;14;2003-02-01;16.27
-3.691945;40.422501;14;2003-03-01;26.42
-3.691945;40.422501;14;2003-04-01;14.83
-3.691945;40.422501;14;2003-05-01;35.29
-3.691945;40.422501;14;2003-06-01;20.41
-3.691945;40.422501;14;2003-07-01;26.18
-3.691945;40.422501;14;2003-08-01;46.14
-3.691945;40.422501;14;2003-09-01;28.01
-3.691945;40.422501;14;2003-10-01;15.59
-3.691945;40.422501;14;2003-11-01;15.23
-3.691945;40.422501;14;2003-12-01;6.280
-3.691945;40.422501;89;2003-01-01;2.500
-3.691945;40.422501;89;2003-02-01;00.00
-3.691945;40.422501;89;2003-03-01;00.00
-3.691945;40.422501;89;2003-04-01;00.00
-3.691945;40.422501;89;2003-05-01;00.00
-3.691945;40.422501;89;2003-06-01;00.00
-3.691945;40.422501;89;2003-07-01;00.00
-3.691945;40.422501;89;2003-08-01;00.00
-3.691945;40.422501;89;2003-09-01;00.00
-3.691945;40.422501;89;2003-10-01;14.50
-3.691945;40.422501;89;2003-11-01;00.00
-3.691945;40.422501;89;2003-12-01;00.00
-3.691945;40.409725;01;2003-01-01;15.69
-3.691945;40.409725;01;2003-02-01;18.11
-3.691945;40.409725;01;2003-03-01;14.80
-3.691945;40.409725;01;2003-04-01;13.08
-3.691945;40.409725;01;2003-05-01;8.620
-3.691945;40.409725;01;2003-06-01;11.15
-3.691945;40.409725;01;2003-07-01;7.100
-3.691945;40.409725;01;2003-08-01;7.770
-3.691945;40.409725;01;2003-09-01;7.290
-3.691945;40.409725;01;2003-10-01;9.250
-3.691945;40.409725;01;2003-11-01;12.77
-3.691945;40.409725;01;2003-12-01;18.97
-3.691945;40.409725;06;2003-01-01;1.240
-3.691945;40.409725;06;2003-02-01;1.280
-3.691945;40.409725;06;2003-03-01;0.940
-3.691945;40.409725;06;2003-04-01;0.650
-3.691945;40.409725;06;2003-05-01;0.500
-3.691945;40.409725;06;2003-06-01;0.730
-3.691945;40.409725;06;2003-07-01;0.560
-3.691945;40.409725;06;2003-08-01;0.480
-3.691945;40.409725;06;2003-09-01;0.500
-3.691945;40.409725;06;2003-10-01;0.940
-3.691945;40.409725;06;2003-11-01;0.930
-3.691945;40.409725;06;2003-12-01;1.240
-3.691945;40.409725;08;2003-01-01;67.72
-3.691945;40.409725;08;2003-02-01;65.05
-3.691945;40.409725;08;2003-03-01;56.00
-3.691945;40.409725;08;2003-04-01;62.82
-3.691945;40.409725;08;2003-05-01;52.06
-3.691945;40.409725;08;2003-06-01;63.71
-3.691945;40.409725;08;2003-07-01;54.40
-3.691945;40.409725;08;2003-08-01;68.23
-3.691945;40.409725;08;2003-09-01;53.20
-3.691945;40.409725;08;2003-10-01;73.36
-3.691945;40.409725;08;2003-11-01;62.46
-3.691945;40.409725;08;2003-12-01;85.52
-3.691945;40.409725;10;2003-01-01;24.31
-3.691945;40.409725;10;2003-02-01;30.89
-3.691945;40.409725;10;2003-03-01;18.40
-3.691945;40.409725;10;2003-04-01;29.63
-3.691945;40.409725;10;2003-05-01;19.30
-3.691945;40.409725;10;2003-06-01;32.33
-3.691945;40.409725;10;2003-07-01;23.65
-3.691945;40.409725;10;2003-08-01;47.44
-3.691945;40.409725;10;2003-09-01;22.49
-3.691945;40.409725;10;2003-10-01;26.29
-3.691945;40.409725;10;2003-11-01;17.37
-3.691945;40.409725;10;2003-12-01;50.92
-3.691945;40.409725;12;2003-01-01;204.6
-3.691945;40.409725;12;2003-02-01;183.7
-3.691945;40.409725;12;2003-03-01;115.2
-3.691945;40.409725;12;2003-04-01;102.4
-3.691945;40.409725;12;2003-05-01;73.39
-3.691945;40.409725;12;2003-06-01;132.7
-3.691945;40.409725;12;2003-07-01;100.8
-3.691945;40.409725;12;2003-08-01;87.34
-3.691945;40.409725;12;2003-09-01;87.64
-3.691945;40.409725;12;2003-10-01;189.1
-3.691945;40.409725;12;2003-11-01;144.5
-3.691945;40.409725;12;2003-12-01;266.2
-3.691945;40.409725;14;2003-01-01;9.310
-3.691945;40.409725;14;2003-02-01;15.66
-3.691945;40.409725;14;2003-03-01;20.51
-3.691945;40.409725;14;2003-04-01;29.52
-3.691945;40.409725;14;2003-05-01;44.55
-3.691945;40.409725;14;2003-06-01;25.59
-3.691945;40.409725;14;2003-07-01;40.76
-3.691945;40.409725;14;2003-08-01;55.37
-3.691945;40.409725;14;2003-09-01;32.37
-3.691945;40.409725;14;2003-10-01;12.11
-3.691945;40.409725;14;2003-11-01;10.35
-3.691945;40.409725;14;2003-12-01;5.850
-3.691945;40.409725;20;2003-01-01;15.61
-3.691945;40.409725;20;2003-02-01;11.94
-3.691945;40.409725;20;2003-03-01;6.360
-3.691945;40.409725;20;2003-04-01;7.260
-3.691945;40.409725;20;2003-05-01;4.930
-3.691945;40.409725;20;2003-06-01;9.160
-3.691945;40.409725;20;2003-07-01;7.500
-3.691945;40.409725;20;2003-08-01;8.160
-3.691945;40.409725;20;2003-09-01;9.190
-3.691945;40.409725;20;2003-10-01;21.49
-3.691945;40.409725;20;2003-11-01;18.04
-3.691945;40.409725;20;2003-12-01;18.71
-3.691945;40.409725;30;2003-01-01;3.100
-3.691945;40.409725;30;2003-02-01;2.360
-3.691945;40.409725;30;2003-03-01;1.130
-3.691945;40.409725;30;2003-04-01;0.970
-3.691945;40.409725;30;2003-05-01;1.020
-3.691945;40.409725;30;2003-06-01;1.660
-3.691945;40.409725;30;2003-07-01;1.480
-3.691945;40.409725;30;2003-08-01;1.570
-3.691945;40.409725;30;2003-09-01;1.610
-3.691945;40.409725;30;2003-10-01;3.440
-3.691945;40.409725;30;2003-11-01;3.530
-3.691945;40.409725;30;2003-12-01;3.380
-3.691945;40.409725;35;2003-01-01;3.620
-3.691945;40.409725;35;2003-02-01;2.390
-3.691945;40.409725;35;2003-03-01;1.290
-3.691945;40.409725;35;2003-04-01;1.230
-3.691945;40.409725;35;2003-05-01;1.070
-3.691945;40.409725;35;2003-06-01;2.060
-3.691945;40.409725;35;2003-07-01;1.770
-3.691945;40.409725;35;2003-08-01;1.700
-3.691945;40.409725;35;2003-09-01;3.010
-3.691945;40.409725;35;2003-10-01;4.760
-3.691945;40.409725;35;2003-11-01;4.040
-3.691945;40.409725;35;2003-12-01;4.500
-3.691945;40.409725;37;2003-01-01;10.11
-3.691945;40.409725;37;2003-02-01;6.340
-3.691945;40.409725;37;2003-03-01;3.420
-3.691945;40.409725;37;2003-04-01;3.240
-3.691945;40.409725;37;2003-05-01;2.670
-3.691945;40.409725;37;2003-06-01;5.460
-3.691945;40.409725;37;2003-07-01;4.090
-3.691945;40.409725;37;2003-08-01;1.010
-3.691945;40.409725;37;2003-09-01;7.120
-3.691945;40.409725;37;2003-10-01;12.43
-3.691945;40.409725;37;2003-11-01;9.370
-3.691945;40.409725;37;2003-12-01;11.45
-3.691945;40.409725;38;2003-01-01;3.950
-3.691945;40.409725;38;2003-02-01;2.480
-3.691945;40.409725;38;2003-03-01;1.180
-3.691945;40.409725;38;2003-04-01;1.240
-3.691945;40.409725;38;2003-05-01;1.070
-3.691945;40.409725;38;2003-06-01;2.080
-3.691945;40.409725;38;2003-07-01;1.840
-3.691945;40.409725;38;2003-08-01;4.110
-3.691945;40.409725;38;2003-09-01;2.500
-3.691945;40.409725;38;2003-10-01;4.350
-3.691945;40.409725;38;2003-11-01;3.910
-3.691945;40.409725;38;2003-12-01;4.170
-3.691945;40.409725;39;2003-01-01;4.800
-3.691945;40.409725;39;2003-02-01;3.040
-3.691945;40.409725;39;2003-03-01;0.890
-3.691945;40.409725;39;2003-04-01;1.030
-3.691945;40.409725;39;2003-05-01;1.460
-3.691945;40.409725;39;2003-06-01;1.020
-3.691945;40.409725;39;2003-07-01;2.060
-3.691945;40.409725;39;2003-08-01;2.310
-3.691945;40.409725;39;2003-09-01;2.790
-3.691945;40.409725;39;2003-10-01;1.630
-3.691945;40.409725;39;2003-11-01;4.810
-3.691945;40.409725;39;2003-12-01;2.840
-3.691945;40.409725;42;2003-01-01;1.300
-3.691945;40.409725;42;2003-02-01;2.110
-3.691945;40.409725;42;2003-03-01;1.330
-3.691945;40.409725;42;2003-04-01;1.340
-3.691945;40.409725;42;2003-05-01;1.330
-3.691945;40.409725;42;2003-06-01;1.430
-3.691945;40.409725;42;2003-07-01;1.330
-3.691945;40.409725;42;2003-08-01;1.350
-3.691945;40.409725;42;2003-09-01;1.330
-3.691945;40.409725;42;2003-10-01;1.390
-3.691945;40.409725;42;2003-11-01;1.550
-3.691945;40.409725;42;2003-12-01;1.630
-3.691945;40.409725;44;2003-01-01;0.100
-3.691945;40.409725;44;2003-02-01;0.210
-3.691945;40.409725;44;2003-03-01;0.120
-3.691945;40.409725;44;2003-04-01;0.110
-3.691945;40.409725;44;2003-05-01;0.070
-3.691945;40.409725;44;2003-06-01;0.120
-3.691945;40.409725;44;2003-07-01;0.060
-3.691945;40.409725;44;2003-08-01;0.070
-3.691945;40.409725;44;2003-09-01;0.070
-3.691945;40.409725;44;2003-10-01;0.200
-3.691945;40.409725;44;2003-11-01;0.190
-3.691945;40.409725;44;2003-12-01;0.250
-3.691945;40.409725;83;2003-01-01;11.88
-3.691945;40.409725;83;2003-02-01;5.910
-3.691945;40.409725;83;2003-03-01;11.73
-3.691945;40.409725;83;2003-04-01;14.22
-3.691945;40.409725;83;2003-05-01;16.79
-3.691945;40.409725;83;2003-06-01;21.81
-3.691945;40.409725;83;2003-07-01;21.48
-3.691945;40.409725;83;2003-08-01;29.21
-3.691945;40.409725;83;2003-09-01;22.83
-3.691945;40.409725;83;2003-10-01;16.25
-3.691945;40.409725;83;2003-11-01;10.28
-3.691945;40.409725;83;2003-12-01;4.850
-3.703333;40.419167;01;2003-01-01;10.14
-3.703333;40.419167;01;2003-02-01;24.83
-3.703333;40.419167;01;2003-03-01;10.12
-3.703333;40.419167;01;2003-04-01;00.00N11.10
-3.703333;40.419167;01;2003-05-01;6.760
-3.703333;40.419167;01;2003-06-01;6.960
